reviewerid,movie-code,rating
0,1,2
0,2,1
0,3,2
0,4,2
0,5,2
0,6,2
0,8,2
0,9,2
0,10,2
0,11,2
0,12,2
0,17,2
0,21,2
0,24,2
0,26,2
0,27,2
0,28,2
0,29,2
0,30,2
0,31,2
0,32,2
0,33,2
0,34,2
0,35,2
0,36,2
0,42,2
0,43,2
0,44,2
0,45,1
0,46,2
0,47,2
0,48,2
0,49,2
0,54,2
0,55,2
0,57,1
0,58,2
0,59,2
0,60,2
0,61,2
0,62,2
0,63,2
0,65,2
0,66,2
0,67,2
0,71,2
0,76,2
0,77,1
0,79,1
0,81,1
0,89,2
0,90,2
0,95,1
0,96,2
0,97,2
0,99,2
0,100,0
0,101,0
0,102,2
0,103,2
0,104,2
0,105,2
0,113,2
0,116,2
0,117,2
0,118,2
0,119,2
0,120,1
0,121,2
0,132,2
0,133,2
0,135,2
0,137,2
0,138,2
0,139,2
0,140,2
0,141,2
0,142,2
0,143,2
0,144,2
0,146,2
0,149,1
0,151,2
0,152,2
0,153,2
0,154,2
0,155,2
0,156,2
0,157,2
0,160,2
0,163,1
0,164,2
0,165,2
0,166,2
0,168,2
0,170,2
0,171,2
0,174,2
0,177,2
0,180,2
0,181,2
0,182,2
0,183,2
0,184,2
0,186,2
0,187,2
0,188,2
0,189,2
0,190,2
0,191,2
0,192,2
0,195,2
0,196,2
0,197,2
0,198,2
0,199,2
0,200,2
1,1,1
1,9,2
1,10,2
1,11,2
1,13,2
1,17,2
1,18,2
1,20,2
1,25,0
1,26,2
1,29,2
1,32,0
1,38,2
1,39,1
1,40,2
1,42,2
1,45,1
1,46,2
1,47,2
1,48,2
1,49,2
1,51,2
1,52,2
1,53,0
1,54,2
1,55,2
1,59,2
1,61,2
1,62,2
1,66,2
1,67,2
1,68,2
1,69,2
1,71,2
1,72,2
1,73,2
1,74,1
1,75,2
1,76,2
1,77,2
1,79,2
1,81,2
1,82,2
1,83,2
1,84,1
1,85,2
1,86,1
1,87,2
1,88,0
1,90,2
1,91,1
1,95,2
1,96,2
1,97,2
1,98,2
1,100,2
1,103,1
1,104,2
1,105,2
1,106,2
1,107,2
1,111,2
1,112,2
1,113,1
1,114,2
1,116,2
1,117,2
1,118,1
1,121,2
1,122,2
1,124,0
1,125,1
1,126,2
1,128,1
1,132,2
1,133,1
1,135,2
1,136,2
1,137,2
1,138,2
1,139,2
1,140,0
1,142,1
1,143,1
1,144,2
1,146,2
1,147,1
1,150,2
1,151,0
1,152,2
1,154,2
1,159,1
1,160,2
1,162,1
1,163,2
1,164,2
1,165,0
1,166,0
1,167,2
1,168,1
1,169,2
2,2,1
2,9,2
2,10,2
2,11,2
2,12,2
2,13,1
2,14,1
2,15,1
2,17,2
2,18,1
2,19,0
2,20,1
2,23,1
2,24,1
2,27,2
2,28,1
2,29,2
2,30,2
2,33,1
2,34,2
2,42,2
2,43,2
2,45,2
2,46,1
2,47,2
2,48,1
2,49,0
2,50,2
2,51,2
2,53,0
2,55,2
2,57,0
2,58,2
2,59,0
2,60,0
2,61,2
2,62,2
2,65,2
2,66,2
2,67,2
2,68,0
2,69,1
2,71,2
2,72,1
2,74,0
2,76,2
2,79,1
2,81,2
2,87,0
2,89,2
2,90,2
2,92,1
2,95,1
2,96,2
2,97,2
2,99,2
2,105,2
2,112,1
2,113,2
2,114,2
2,116,2
2,117,0
2,120,2
2,130,2
2,132,2
2,133,2
2,141,2
2,144,2
2,146,2
2,148,1
2,150,0
2,151,2
2,152,2
2,153,1
2,155,2
2,156,1
2,160,1
2,163,0
2,164,2
2,166,2
2,168,2
2,170,2
2,171,0
2,172,1
2,173,1
2,174,1
2,175,1
2,176,1
2,177,2
2,178,1
2,179,1
2,180,0
2,181,1
2,182,0
2,183,0
2,184,2
2,185,0
2,186,2
2,187,2
2,188,2
2,189,1
2,190,0
2,191,2
2,192,0
2,193,0
2,194,0
2,195,0
2,196,0
2,197,2
2,198,2
2,199,0
2,200,2
3,1,2
3,1,2
3,2,0
3,2,2
3,3,2
3,3,2
3,4,2
3,5,2
3,5,2
3,6,2
3,7,2
3,8,1
3,8,2
3,9,0
3,9,2
3,10,2
3,10,2
3,11,1
3,12,2
3,12,2
3,13,2
3,13,2
3,16,2
3,16,0
3,17,1
3,17,2
3,18,1
3,19,0
3,19,0
3,20,1
3,20,0
3,22,1
3,24,2
3,27,1
3,28,2
3,29,2
3,30,2
3,31,2
3,33,0
3,34,0
3,36,2
3,39,2
3,41,2
3,42,2
3,43,1
3,44,1
3,45,2
3,46,2
3,47,2
3,48,2
3,50,1
3,53,2
3,55,2
3,59,2
3,60,2
3,61,2
3,62,2
3,63,1
3,65,2
3,66,2
3,67,2
3,68,2
3,70,1
3,71,2
3,74,2
3,76,1
3,78,2
3,79,2
3,81,1
3,82,2
3,83,2
3,85,2
3,88,2
3,89,2
3,90,2
3,141,2
3,142,0
3,143,1
3,144,1
3,146,2
3,147,2
3,148,2
3,149,2
3,150,1
3,151,2
3,153,1
3,155,2
3,156,2
3,157,2
3,158,1
3,159,0
3,160,2
3,161,2
3,162,2
3,163,2
3,164,1
3,165,1
3,166,2
3,167,2
3,168,2
3,169,2
3,170,1
3,171,2
3,175,1
3,176,2
3,177,1
3,180,2
3,181,1
3,182,2
3,183,2
3,184,2
3,186,2
3,187,2
3,189,2
3,190,2
3,191,2
3,192,2
3,196,2
3,197,2
3,198,2
3,199,2
3,200,2
4,2,1
4,3,2
